Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1750.3164
FDW14,OUT017,1531.6322
NCN55,OUT010,470.84006
FDQ58,OUT017,2568.4238
FDY38,OUT027,6061.869
FDH56,OUT046,2071.7002
FDL48,OUT018,697.2486
FDC48,OUT027,1918.4694
FDN33,OUT045,1342.1249
FDA36,OUT017,3186.2114
FDT44,OUT017,1909.3324
FDQ56,OUT045,1227.4846
NCC54,OUT019,583.2158
FDU11,OUT049,1883.0092
DRL59,OUT013,740.155
FDM24,OUT049,2443.6223
FDI57,OUT045,2905.072
DRC12,OUT018,2586.716
NCM42,OUT027,2733.2795
FDA46,OUT010,407.25043
FDA31,OUT013,2862.2678
NCJ31,OUT035,3662.648
FDG52,OUT046,722.21497
NCL19,OUT019,312.9735
FDS10,OUT035,3090.3489
FDX22,OUT010,498.65063
NCF19,OUT035,671.6053
NCE06,OUT046,2727.4941
DRC27,OUT046,3616.2576
FDE21,OUT035,1804.3284
NCR42,OUT019,90.08452
FDX51,OUT018,2676.9763
NCR06,OUT018,435.52502
FDU31,OUT027,5763.4785
FDU59,OUT017,2662.7083
FDR03,OUT027,5508.8496
FDS49,OUT027,1950.1705
FDD48,OUT010,232.27419
NCF18,OUT017,3429.6213
NCD43,OUT027,2543.3992
NCD54,OUT018,1914.7479
FDY19,OUT010,272.8739
NCY54,OUT017,2928.2664
NCL19,OUT018,1889.4508
FDP23,OUT010,448.83197
FDC26,OUT013,1700.7291
FDR14,OUT010,144.70047
NCS41,OUT035,3021.4746
FDF41,OUT035,3832.3054
FDU34,OUT046,1984.3815
DRH11,OUT046,997.90356
FDM03,OUT013,1616.8052
FDS31,OUT017,3115.1985
FDJ20,OUT017,2009.7446
FDV44,OUT027,5089.447
FDG02,OUT049,3390.0823
FDA09,OUT013,2914.5208
FDT04,OUT013,544.2132
FDL58,OUT019,883.6949
FDE52,OUT045,1363.9634
FDW12,OUT035,2293.0203
FDL51,OUT017,3980.557
NCY42,OUT027,3674.787
FDR07,OUT017,1618.6517
FDN40,OUT045,2192.0674
FDB35,OUT027,2250.6301
FDA22,OUT017,2691.269
NCL06,OUT046,3797.2512
FDI35,OUT013,2971.6829
NCW42,OUT045,3156.717
NCX06,OUT049,2982.3035
FDC37,OUT027,2692.7815
FDZ14,OUT018,1640.2175
DRG49,OUT049,4099.391
NCG06,OUT045,3533.4084
